Type,Name,Date Added,Modified History,Description
Theme,IDEOLOGY,2014-05-22 00:00:00,2014-05-22 00:00:00,Self-identified discussion of ideology
Theme,IMMIGRATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of immigration
Theme,IMPEACHMENT,2013-10-13 00:00:00,2013-10-13 00:00:00,Impeachment
Theme,INFO_HOAX,2014-10-01 00:00:00,2014-10-01 00:00:00,Discussion of hoaxes
Theme,INFO_RUMOR,2014-10-01 00:00:00,2014-10-01 00:00:00,Discussion of rumors
Theme,INFRASTRUCTURE_BAD_ROADS,2014-02-20 00:00:00,2014-02-20 00:00:00,"Mentions of potholes, impassable roads, blocked roads, etc."
Theme,INSURGENCY,2014-05-15 00:00:00,2014-05-15 00:00:00,Self-identified discussion of insurgency
Theme,INTERNET_BLACKOUT,2013-10-13 00:00:00,2013-10-13 00:00:00,Mentions of internet blackouts
Theme,INTERNET_CENSORSHIP,2013-10-13 00:00:00,2013-10-13 00:00:00,"Internet censorship such as blocking websites, etc"
Theme,JIHAD,2013-10-13 00:00:00,2013-10-13 00:00:00,"Actual mentions of ""jihad"" and ""holy war"""
Count,KIDNAP,2013-10-13 00:00:00,2013-10-13 00:00:00,"Someone being kidnapped, abducted, hostages, etc"
Count,KILL,2013-10-13 00:00:00,2013-10-13 00:00:00,Any mention of something dying
Theme,LANDMINE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Landmines, IEDs, antipersonnel mines, etc"
Theme,LEADER,2013-10-13 00:00:00,2013-10-13 00:00:00,"Political elites, such as lawmakers, presidents, supreme leaders, etc"
Theme,LEGALIZE,2013-10-13 00:00:00,2013-10-13 00:00:00,"Something being legalized, laws being repealed, etc"
Theme,LEGISLATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of laws
Theme,LGBT,2013-11-04 00:00:00,2013-11-04 00:00:00,"Lesbian, Gay, Bisexual, and Transgender discussion"
Theme,LITERACY,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of literacy and illiteracy
Theme,LOCUSTS,2013-10-13 00:00:00,2013-10-13 00:00:00,Mentions of locusts
Theme,MANMADE_DISASTER,2013-10-13 00:00:00,2013-10-13 00:00:00,"Failure of manmade infrastructure such as car crashes, bridge collapses, derailments, plane crashes, etc"
Theme,MANMADE_DISASTER_IMPLIED,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of disasters in context with manmade structures, but where the relationship is not fully clear, but is implied"
Theme,MARITIME,2013-10-13 00:00:00,2013-10-13 00:00:00,General discussion of the maritime environment
Theme,MARITIME_INCIDENT,2013-10-13 00:00:00,2013-10-13 00:00:00,"Sinking ships, capsizing, etc"
Theme,MARITIME_INCIDENT_IMPLIED,2013-10-13 00:00:00,2013-10-13 00:00:00,"Maritime emergencies like sinking ships, collisions at sea, etc"
Theme,MARITIME_INCIDENT_SELF_IDENTIFIED,2014-02-20 00:00:00,2014-02-20 00:00:00,Mentions of specific unambiguous martime accidents like grounding.
Theme,MARITIME_PIRACY,2014-10-01 00:00:00,2014-10-01 00:00:00,Maritime piracy
Theme,MEDIA_CENSORSHIP,2013-10-13 00:00:00,2013-10-13 00:00:00,"Censorship of the mainstream media, such as arresting journalists, press freedoms, etc"
Theme,MEDIA_MSM,2013-10-13 00:00:00,2013-10-13 00:00:00,"Any mention of mainstream media such as television, reporter, journalist, etc.  Often flags just a mention of a ""reporter"", but can be used to capture discussion of MSM overall"
Theme,MEDIA_SOCIAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"Any mention of social media such as Facebook, Twitter, etc.  Often flags mentions of ""follow me on twitter"", but useful proxy for discussion of social media"
Theme,MEDICAL,2013-10-13 00:00:00,2013-10-13 00:00:00,"More narrowly focused on healthcare like nurses, health services, addiction treatment, etc"
Theme,MEDICAL_SECURITY,2014-02-20 00:00:00,2014-02-20 00:00:00,"Access to doctors, healthcare, poor medical access, etc."
Theme,MIL_SELF_IDENTIFIED_ARMS_DEAL,2013-10-13 00:00:00,2013-11-04 00:00:00,"Only actual mentions of ""arms deal"", ""weapons sale"", etc - doesn't determine that a sale of AK47's is an arms sale, requires the text to explicitly label it as such"
Theme,MIL_WEAPONS_PROLIFERATION,2013-11-04 00:00:00,2013-11-04 00:00:00,Weapons proliferation
Theme,MILITARY,2013-10-13 00:00:00,2013-10-13 00:00:00,General discussion of the military
